"CPU","Id","ProcessName"
"379,765625","3720","powershell_ise"
"77,40625","172","explorer"
"51,90625","4800","chrome"
"51,484375","15192","CefSharp.BrowserSubprocess"
"47,609375","8228","livelywpf"
"38,09375","14748","chrome"
"31,03125","10876","CefSharp.BrowserSubprocess"
"20,265625","8156","LivelyCefSharp"
"16,140625","3440","nvcontainer"
"13,8125","3592","CefSharp.BrowserSubprocess"
"12,09375","6652","chrome"
"9,84375","13156","chrome"
"9,078125","12800","SearchApp"
"8,8125","17184","ctfmon"
"6,875","11184","SettingSyncHost"
"3,765625","14792","sihost"
"3,296875","15080","chrome"
"3,203125","584","svchost"
"3,1875","940","CCleaner64"
"2,484375","6792","Docker Desktop"
"2,40625","10140","chrome"
"2,234375","14568","StartMenuExperienceHost"
"2,203125","9232","RuntimeBroker"
"2,171875","16044","RuntimeBroker"
"1,703125","7432","TextInputHost"
"1,65625","14836","RuntimeBroker"
"1,5","17400","DCv2"
"1,34375","1564","svchost"
"1,25","14864","OneDrive"
"1,234375","9756","ShellExperienceHost"
"1,171875","7572","NVIDIA Web Helper"
"1,109375","14156","CNMNSST2"
"1,078125","5808","com.docker.backend"
"0,875","5144","SystemSettings"
"0,59375","12848","RuntimeBroker"
"0,59375","15056","taskhostw"
"0,5","7496","RuntimeBroker"
"0,46875","12188","svchost"
"0,46875","3464","Microsoft.Photos"
"0,4375","15352","svchost"
"0,40625","7932","svchost"
"0,375","13292","LockApp"
"0,328125","8292","docker"
"0,3125","6880","CefSharp.BrowserSubprocess"
"0,3125","16688","vpnkit-bridge"
"0,265625","4516","notepad"
"0,25","8200","VoiceControlEngine"
"0,25","7152","MSI.TerminalServer"
"0,25","8496","ApplicationFrameHost"
"0,234375","11512","YourPhone"
"0,21875","4532","com.docker.wsl-distro-proxy"
"0,21875","14460","chrome"
"0,21875","16004","CefSharp.BrowserSubprocess"
"0,21875","3128","unsecapp"
"0,15625","2688","dllhost"
"0,15625","5796","notepad"
"0,140625","1560","com.docker.proxy"
"0,125","15792","SecurityHealthSystray"
"0,125","9108","dllhost"
"0,125","8552","CefSharp.BrowserSubprocess"
"0,109375","4224","UserOOBEBroker"
"0,09375","7980","conhost"
"0,09375","11920","chrome"
"0,09375","16832","livelySubProcess"
"0,078125","4052","smartscreen"
"0,078125","15724","wsl"
"0,078125","13548","conhost"
"0,0625","15684","vpnkit"
"0,0625","6020","RuntimeBroker"
"0,0625","2276","chrome"
"0,0625","6016","conhost"
"0,046875","14776","conhost"
"0,046875","4244","com.docker.dev-envs"
"0,03125","12856","conhost"
"0,03125","284","conhost"
"0,03125","15496","conhost"
"0,03125","7260","wslhost"
"0,03125","9744","wsl"
"0,03125","8696","conhost"
"0,03125","7836","chrome"
"0,03125","15248","conhost"
"0,03125","3976","wsl"
"0,03125","8580","conhost"
"0,015625","8040","wslhost"
"0,015625","8456","wslhost"
"0,015625","15280","SearchProtocolHost"
"0,015625","16768","wslhost"
"0,015625","8068","conhost"
"0,015625","8216","conhost"
"0,015625","12316","wsl"
"0,015625","9596","dllhost"
"0,015625","8624","RuntimeBroker"
"0,015625","8828","conhost"
"0,015625","13240","conhost"
"0,015625","12416","conhost"
"0,015625","15396","conhost"
"0","1264","RtkAudUService64"
"0","6824","wslhost"
"0","4056","wsl"
,"4016","RtkAudUService64"
,"6264","svchost"
,"6288","svchost"
,"6928","svchost"
,"4000","MSI_Central_Service"
,"11084","svchost"
,"5852","svchost"
,"11568","svchost"
,"11880","svchost"
,"11944","svchost"
,"12028","svchost"
,"9008","svchost"
,"5292","svchost"
,"5056","svchost"
,"5176","svchost"
,"2056","MSI.CentralServer"
,"5000","svchost"
,"4484","svchost"
,"4320","svchost"
,"4252","svchost"
,"4120","svchost"
,"4072","svchost"
,"3952","svchost"
,"3916","svchost"
,"3804","svchost"
,"3796","svchost"
,"3788","svchost"
,"5196","svchost"
,"12680","svchost"
,"6132","MpCopyAccelerator"
,"12864","svchost"
,"4284","dasHost"
,"14172","dwm"
,"11392","csrss"
,"1048","fontdrvhost"
,"12152","fontdrvhost"
,"6436","GoogleCrashHandler"
,"7136","GoogleCrashHandler64"
,"0","Idle"
,"4928","WmiPrvSE"
,"2112","WmiPrvSE"
,"14016","winlogon"
,"828","wininit"
,"12712","svchost"
,"9768","CC_Engine_x64"
,"736","csrss"
,"3980","VoiceControl_Service"
,"13136","vmwp"
,"13192","vmmem"
,"13008","vmcompute"
,"920","LsaIso"
,"928","lsass"
,"2232","Memory Compression"
,"592","MoUsoCoreWorker"
,"4","System"
,"16912","svchost"
,"14068","svchost"
,"3960","ijplmsvc"
,"3780","svchost"
,"3756","svchost"
,"3764","svchost"
,"1600","svchost"
,"6704","NisSrv"
,"1532","svchost"
,"1512","svchost"
,"1464","svchost"
,"1456","svchost"
,"1416","svchost"
,"1376","svchost"
,"1192","svchost"
,"1136","svchost"
,"956","svchost"
,"840","svchost"
,"644","svchost"
,"1688","svchost"
,"13520","WUDFHost"
,"3268","spoolsv"
,"520","smss"
,"3992","nvcontainer"
,"1960","NVDisplay.Container"
,"2600","SgrmBroker"
,"10388","NVDisplay.Container"
,"900","services"
,"8776","SecurityHealthService"
,"88","Secure System"
,"9480","SearchProtocolHost"
,"4768","SearchIndexer"
,"6452","conhost"
,"156","Registry"
,"4828","com.docker.service"
,"3772","svchost"
,"1700","svchost"
,"1784","svchost"
,"3740","svchost"
,"3724","svchost"
,"3620","svchost"
,"3580","svchost"
,"3344","svchost"
,"3332","svchost"
,"3112","svchost"
,"3064","svchost"
,"3056","svchost"
,"3048","svchost"
,"2860","svchost"
,"2812","svchost"
,"2720","svchost"
,"1712","svchost"
,"2628","svchost"
,"2468","svchost"
,"2332","svchost"
,"2324","svchost"
,"2280","svchost"
,"2212","svchost"
,"4040","MsMpEng"
,"2088","svchost"
,"2080","svchost"
,"2068","svchost"
,"2064","svchost"
,"2040","svchost"
,"1876","svchost"
,"1824","svchost"
,"2560","svchost"
,"2156","svchost"
